2960933,Wicklow Gap,Wicklow Gap,"",53.04056,-6.40194,T,GAP,IE,"",L,31,"","",0,"",473,Europe/Dublin,2010-08-14
2960934,Wicklow Gap,Wicklow Gap,"",52.75667,-6.35944,T,GAP,IE,"",L,30,"","",0,"",249,Europe/Dublin,2010-08-14
2960935,Wicklow,Wicklow,"Cill Mhantain,Cill Mhantáin,Contae Chill Mhantain,Contae Chill Mhantáin,County Wicklow,Wicklow",53,-6.41667,A,ADM2,IE,"",L,31,"","",136640,"",516,Europe/Dublin,2013-11-09
2960936,Wicklow,Wicklow,"Cill Maintain,Cill Maintainn,Cill Maintáinn,Cill Manntein,Cill Manntéin,Cill Mantan,Cill Mhanntain,Cill Mhantain,Cill Mhantáin,Wicklow",52.975,-6.04944,P,PPLA2,IE,"",L,31,"","",14048,"",53,Europe/Dublin,2013-12-08
2960937,Whiting Bay,Whiting Bay,"",51.94694,-7.78139,H,BAY,IE,"",M,04,"","",0,"",-9999,Europe/Dublin,2010-08-14
2960938,Whitfield Court,Whitfield Court,"Whitfield,Whitfield Court",52.22278,-7.21722,S,EST,IE,IE,M,44,"","",0,"",5,Europe/Dublin,2017-07-25
2960939,Whitewood House,Whitewood House,"Whitewood,Whitewood House",53.84139,-6.78333,S,EST,IE,IE,L,21,"","",0,"",95,Europe/Dublin,2012-01-18
2960940,Whitewell House,Whitewell House,"",53.43333,-7.31667,S,EST,IE,"",L,29,"","",0,"",89,Europe/Dublin,1993-12-27
2960941,Whites Town,Whites Town,"",53.99778,-6.12778,P,PPL,IE,"",L,19,"","",0,"",13,Europe/Dublin,2010-08-14
2960942,White River,White River,"",53.85972,-6.38694,H,STM,IE,"",L,19,"","",0,"",8,Europe/Dublin,2010-08-14
2960943,White River,White River,"",52.59556,-9.19361,H,STM,IE,"",M,16,"","",0,"",3,Europe/Dublin,2010-08-14
2960944,White Point,White Point,"",51.85,-8.31667,T,PT,IE,"",M,04,"","",0,"",52,Europe/Dublin,2010-08-14
2960945,White Mountain,White Mountain,"",52.48333,-6.83333,T,MT,IE,"",L,30,"","",0,"",326,Europe/Dublin,2010-08-14
2960946,White Lough,White Lough,"",53.70194,-7.22,H,LK,IE,"",00,"","","",0,"",112,Europe/Dublin,1999-03-22
2960947,Whitehill House,Whitehill House,"",53.73333,-7.63333,S,EST,IE,"",L,18,"","",0,"",92,Europe/Dublin,1993-12-27
2960948,Whitehall,Whitehall,"",53.75,-7.93333,P,PPL,IE,"",C,24,"","",0,"",37,Europe/Dublin,1993-12-27
2960949,Paulstown,Paulstown,"Baile Phoil,Baile Phóil,Paulstown,Whitehall",52.68111,-7.02222,P,PPL,IE,"",L,13,"","",791,"",58,Europe/Dublin,2013-11-26
